##### page 1 : 6 residual bands
  y  134-  161 x    0-  612 ink=224400 (no text)
  y  171-  293 x    0-  612 ink=809808 UNITVII | GENETICS AND EVOLUTION
  y  408-  422 x  240-  557 ink=9711   molecularbiologywasaconsequentdevelopmentwithmajor
  y  530-  553 x    0-  612 ink=183600 (no text)
  y  564-  644 x    0-  612 ink=315112 (no text)
  y  674-  761 x  424-  536 ink=31222  (no text)
##### page 2 : 4 residual bands
  y  132-  164 x    0-  612 ink=283050 (no text)
  y  316-  394 x   76-  189 ink=112199 (no text)
  y  444-  460 x  191-  555 ink=10028  Watson,thenayoungmanof23,leading in1953totheproposalof
  y  574-  655 x    0-  612 ink=294424 (no text)
##### page 3 : 2 residual bands
  y   85-  225 x    0-  550 ink=83390  hyy | RRy | CHAPTER 4 | 12083CH05
  y  427-  441 x  249-  536 ink=8878   Orwhy amangoseedformsonlyamangoplantand not
##### page 4 : 8 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  117-  140 x  170-  289 ink=1417   (no text)
  y  152-  177 x  170-  289 ink=1286   (no text)
  y  190-  232 x  169-  296 ink=11060  (no text)
  y  244-  290 x  158-  291 ink=2907   (no text)
  y  297-  355 x  154-  292 ink=3678   (no text)
  y  367-  444 x  149-  278 ink=22116  (no text)
  y  457-  592 x  147-  280 ink=30282  (no text)
##### page 5 : 4 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  102-  381 x  287-  537 ink=113508 Petal | Stigma | Anther | Stamen | Carpel | Removal of anthers | (Emasculation) | Parent | Parent | Transfer ofpollen | (Pollination)
  y  377-  451 x  306-  516 ink=21147  No00000
  y  450-  549 x  281-  531 ink=48015  (no text)
##### page 6 : 6 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  104-  185 x  212-  325 ink=14742  ×
  y  204-  237 x  257-  280 ink=719    (no text)
  y  234-  315 x  212-  329 ink=18529  ×
  y  332-  365 x  257-  280 ink=700    (no text)
  y  365-  446 x  152-  368 ink=31618  (no text)
##### page 7 : 6 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  102-  181 x  370-  505 ink=12674  ×
  y  180-  368 x  365-  511 ink=44545  Tall | Dwart | TT | tt | etes | T | Gal | Tt | on | Tt | Tt | ×
  y  370-  392 x  389-  490 ink=680    (no text)
  y  386-  520 x  365-  511 ink=27487  T | T | tes | Ga | on | Tt | tL
  y  636-  653 x   58-  423 ink=10706  (no text)
##### page 8 : 5 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  259-  274 x  190-  555 ink=10019  the genotype is Tt) and in theF,3/4h of theplants are tall (though
  y  381-  397 x  190-  555 ink=11871  (1/2T+1/2t)²=（1/2T+1/2t)X(1/2T+1/2t)=1/4TT+1/2Tt+1/4tt
  y  436-  450 x  190-  555 ink=10663  thatthegenotypeofthedwarfswashomozygous-tt.Whatdoyouthink
  y  569-  584 x  189-  555 ink=11670  (pea plants here) showing a dominant phenotype (and whose | organism
##### page 9 : 5 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  103-  153 x  179-  490 ink=5608   Homozygous | Homozygous | recessive | recessive
  y  152-  163 x  181-  200 ink=550    M
  y  163-  192 x  166-  483 ink=3778   (no text)
  y  188-  287 x  150-  498 ink=62008  Ww | Ww | Ww | Ww | WW | Ww | Dominant Phenotype | W | (Genotypeunknown) | Ww | Ww | MM | MM
##### page 10 : 8 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  103-  148 x  138-  248 ink=12766  (no text)
  y  159-  177 x  155-  235 ink=892    4 | A
  y  174-  219 x  150-  239 ink=3365   R | r
  y  218-  264 x  174-  215 ink=4009   (no text)
  y  275-  416 x   87-  292 ink=29581  O+ | ametes | Gamet | R | R | T | RR | Rr | Rr | generation | Ir
  y  429-  437 x  237-  245 ink=44     (no text)
  y  466-  583 x  102-  262 ink=130147 (no text)
##### page 11 : 3 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  321-  335 x   58-  423 ink=10959  bloodgroupinginhumanbeings.ABObloodgroupsarecontrolled by
  y  718-  728 x   88-  174 ink=164    卫
##### page 12 : 3 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  449-  464 x  189-  555 ink=11292  characters,asisseeninthecrossbetween apeaplant thathasseedswith
  y  618-  632 x  189-  555 ink=10689  wrinkledseedshape.Thegenotypeoftheparentscanthenbewrittenas
##### page 13 : 6 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  118-  149 x  182-  336 ink=2033   (no text)
  y  188-  229 x  182-  345 ink=4551   × | RY
  y  233-  249 x  246-  271 ink=662    (no text)
  y  243-  261 x  246-  271 ink=321    (no text)
  y  324-  651 x   92-  441 ink=71779  RY | O+ | imetes | Gamete | rY | TY | RRYY | Ry | Ry | RrYY | RrYY | Iy | RRYy | rrYY | RRYy | RrYy | RrYy | RrYy | RrYy | eneration | AAH | RRyy | rr
##### page 14 : 5 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  293-  308 x  189-  555 ink=11226  whentwopairsof traitsarecombinedinahybrid,segregationofonepair
  y  420-  433 x  189-  555 ink=10108  and50percentrisindependentfromthesegregationof50percent
  y  476-  490 x  189-  553 ink=10726  four genotypes ofgametes(four types ofpollen and four typesofeggs)
  y  560-  573 x  190-  555 ink=10427  differenttypesofgenotypesandphenotypesareformed?Notethem
##### page 15 : 3 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  528-  541 x   91-  106 ink=296    G
  y  554-  664 x   68-  412 ink=44938  Bivalent
##### page 16 : 4 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  449-  524 x  225-  510 ink=22646  7 | 8883 | 183
  y  542-  616 x  209-  526 ink=27566  沃 | 88 | 18
  y  634-  712 x  213-  336 ink=13641  100 | 000 | 000 | 00
